cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0.1, 0, 0
2, 1, 0, 0, 0, 0.08, 0, 0
3, 0, 1, 0, 0, 0.064, 1, 0.333333
4, 0, 1, 1, 0, 0.0512, 2, 0.5
5, 1, 1, 0, 0, 0.04096, 3, 0.6
6, 0, 1, 0, 0, 0.032768, 4, 0.666667
7, 0, 1, 0, 0, 0.0262144, 5, 0.714286
8, 0, 1, 1, 0, 0.0209715, 6, 0.75
9, 0, 0, 0, 0, 0.0167772, 6, 0.666667
10, 0, 1, 0, 0, 0.0134218, 7, 0.7
11, 0, 1, 0, 0, 0.0107374, 8, 0.727273
12, 0, 1, 0, 0, 0.00858993, 9, 0.75
13, 0, 1, 1, 0, 0.00687195, 10, 0.769231
14, 0, 0, 0, 0, 0.00549756, 10, 0.714286
15, 0, 1, 0, 0, 0.00439805, 11, 0.733333
16, 0, 1, 0, 0, 0.00351844, 12, 0.75
17, 1, 0, 1, 0, 0.00281475, 12, 0.705882
18, 1, 1, 1, 0, 0.0022518, 13, 0.722222
19, 0, 0, 1, 0, 0.00180144, 13, 0.684211
20, 0, 0, 1, 0, 0.00144115, 13, 0.65
21, 0, 0, 0, 0, 0.00115292, 13, 0.619048
22, 0, 1, 0, 0, 0.000922337, 14, 0.636364
23, 0, 1, 1, 0, 0.00073787, 15, 0.652174
24, 0, 0, 0, 0, 0.000590296, 15, 0.625
25, 0, 1, 0, 0, 0.000472237, 16, 0.64
26, 0, 1, 0, 0, 0.000377789, 17, 0.653846
27, 0, 1, 0, 0, 0.000302231, 18, 0.666667
28, 0, 1, 0, 0, 0.000241785, 19, 0.678571
29, 0, 1, 0, 0, 0.000193428, 20, 0.689655
30, 0, 1, 1, 0, 0.000154743, 21, 0.7
31, 0, 0, 0, 0, 0.000123794, 21, 0.677419
32, 0, 1, 0, 0, 9.90352e-05, 22, 0.6875
33, 1, 0, 1, 0, 7.92282e-05, 22, 0.666667
34, 0, 0, 0, 0, 6.33825e-05, 22, 0.647059
35, 0, 1, 0, 0, 5.0706e-05, 23, 0.657143
36, 0, 1, 0, 0, 4.05648e-05, 24, 0.666667
37, 1, 0, 1, 0, 3.24519e-05, 24, 0.648649
38, 0, 0, 0, 0, 2.59615e-05, 24, 0.631579
39, 1, 0, 1, 0, 2.07692e-05, 24, 0.615385
40, 0, 0, 0, 0, 1.66153e-05, 24, 0.6
41, 0, 1, 0, 0, 1.32923e-05, 25, 0.609756
42, 0, 1, 0, 0, 1.06338e-05, 26, 0.619048
43, 1, 0, 1, 0, 8.50706e-06, 26, 0.604651
44, 0, 0, 0, 0, 6.80565e-06, 26, 0.590909
45, 0, 1, 0, 0, 5.44452e-06, 27, 0.6
46, 1, 0, 0, 0, 4.35561e-06, 27, 0.586957
47, 0, 1, 0, 0, 3.48449e-06, 28, 0.595745
48, 0, 1, 1, 0, 2.78759e-06, 29, 0.604167
49, 0, 0, 0, 0, 2.23007e-06, 29, 0.591837
50, 0, 1, 0, 0, 1.78406e-06, 30, 0.6
51, 1, 0, 0, 0, 1.42725e-06, 30, 0.588235
52, 0, 1, 1, 0, 1.1418e-06, 31, 0.596154
53, 0, 0, 0, 0, 9.13439e-07, 31, 0.584906
54, 0, 1, 0, 0, 7.30751e-07, 32, 0.592593
55, 1, 0, 1, 0, 5.84601e-07, 32, 0.581818
56, 0, 0, 0, 0, 4.67681e-07, 32, 0.571429
57, 0, 1, 1, 0, 3.74144e-07, 33, 0.578947
58, 0, 0, 0, 0, 2.99316e-07, 33, 0.568966
59, 0, 1, 0, 0, 2.39452e-07, 34, 0.576271
60, 0, 1, 1, 0, 1.91562e-07, 35, 0.583333
61, 0, 0, 0, 0, 1.5325e-07, 35, 0.57377
62, 0, 1, 0, 0, 1.226e-07, 36, 0.580645
63, 0, 1, 0, 0, 9.80797e-08, 37, 0.587302
64, 0, 1, 0, 0, 7.84638e-08, 38, 0.59375
65, 0, 1, 0, 0, 6.2771e-08, 39, 0.6
66, 0, 1, 0, 0, 5.02168e-08, 40, 0.606061
67, 0, 1, 0, 0, 4.01735e-08, 41, 0.61194
68, 0, 1, 0, 0, 3.21388e-08, 42, 0.617647
69, 0, 1, 0, 0, 2.5711e-08, 43, 0.623188
70, 1, 0, 0, 0, 2.05688e-08, 43, 0.614286
71, 0, 1, 1, 0, 1.6455e-08, 44, 0.619718
72, 0, 0, 0, 0, 1.3164e-08, 44, 0.611111
73, 0, 1, 0, 0, 1.05312e-08, 45, 0.616438
74, 1, 0, 0, 0, 8.42498e-09, 45, 0.608108
75, 1, 0, 1, 0, 6.73999e-09, 45, 0.6
76, 1, 1, 0, 0, 5.39199e-09, 46, 0.605263
77, 0, 1, 0, 0, 4.31359e-09, 47, 0.61039
78, 0, 1, 0, 0, 3.45087e-09, 48, 0.615385
79, 0, 1, 0, 0, 2.7607e-09, 49, 0.620253
80, 0, 1, 1, 0, 2.20856e-09, 50, 0.625
81, 0, 0, 0, 0, 1.76685e-09, 50, 0.617284
82, 0, 1, 1, 0, 1.41348e-09, 51, 0.621951
83, 0, 0, 0, 0, 1.13078e-09, 51, 0.614458
84, 0, 1, 0, 0, 9.04626e-10, 52, 0.619048
85, 0, 1, 0, 0, 7.23701e-10, 53, 0.623529
86, 0, 1, 0, 0, 5.7896e-10, 54, 0.627907
87, 0, 1, 0, 0, 4.63168e-10, 55, 0.632184
88, 0, 1, 0, 0, 3.70535e-10, 56, 0.636364
89, 0, 1, 0, 0, 2.96428e-10, 57, 0.640449
90, 0, 1, 0, 0, 2.37142e-10, 58, 0.644444
91, 0, 1, 1, 0, 1.89714e-10, 59, 0.648352
92, 0, 0, 0, 0, 1.51771e-10, 59, 0.641304
93, 0, 1, 0, 0, 1.21417e-10, 60, 0.645161
94, 0, 1, 0, 0, 9.71334e-11, 61, 0.648936
95, 0, 1, 0, 0, 7.77068e-11, 62, 0.652632
96, 1, 0, 1, 0, 6.21654e-11, 62, 0.645833
97, 0, 0, 0, 0, 4.97323e-11, 62, 0.639175
98, 0, 1, 0, 0, 3.97859e-11, 63, 0.642857
99, 1, 0, 1, 0, 3.18287e-11, 63, 0.636364
100, 0, 0, 1, 0, 2.54629e-11, 63, 0.63
101, 1, 1, 0, 0, 2.03704e-11, 64, 0.633663
