# cycle	 average reward
100	 0.63
200	 0.61
300	 0.593333
400	 0.5975
500	 0.622
600	 0.635
700	 0.63
800	 0.62625
900	 0.635556
1000	 0.64
1100	 0.637273
1200	 0.639167
1300	 0.637692
1400	 0.639286
1500	 0.633333
1600	 0.630625
1700	 0.625882
1800	 0.622778
1900	 0.626316
2000	 0.6285
2100	 0.63381
2200	 0.640909
2300	 0.643043
2400	 0.645833
2500	 0.6472
2600	 0.647308
2700	 0.652593
2800	 0.656071
2900	 0.657241
3000	 0.657333
3100	 0.655484
3200	 0.655625
3300	 0.656667
3400	 0.655588
3500	 0.655714
3600	 0.654722
3700	 0.655135
3800	 0.654211
3900	 0.652564
4000	 0.65175
4100	 0.650732
4200	 0.650952
4300	 0.65093
4400	 0.648636
4500	 0.649556
4600	 0.650217
4700	 0.647872
4800	 0.646875
4900	 0.646939
5000	 0.6458
5100	 0.64549
5200	 0.646923
5300	 0.64717
5400	 0.646296
5500	 0.645636
5600	 0.646964
5700	 0.647368
5800	 0.646207
5900	 0.646102
6000	 0.646667
6100	 0.646557
6200	 0.644839
6300	 0.644921
6400	 0.644531
6500	 0.643077
6600	 0.643485
6700	 0.642836
6800	 0.642794
6900	 0.641739
7000	 0.642
7100	 0.640845
7200	 0.640972
7300	 0.640548
7400	 0.641622
7500	 0.641733
7600	 0.641711
7700	 0.641429
7800	 0.640897
7900	 0.641772
8000	 0.641125
8100	 0.641111
8200	 0.64061
8300	 0.641566
8400	 0.642143
8500	 0.642588
8600	 0.64186
8700	 0.642184
8800	 0.6425
8900	 0.642022
9000	 0.642111
