# cycle	 average reward
100	 0.87
200	 0.875
300	 0.86
400	 0.9025
500	 0.938
600	 0.963333
700	 0.957143
800	 0.97625
900	 0.98
1000	 0.981
1100	 0.978182
1200	 0.983333
1300	 0.979231
1400	 0.974286
1500	 0.977333
1600	 0.976875
1700	 0.972941
1800	 0.977222
1900	 0.976316
2000	 0.976
2100	 0.98
2200	 0.977273
2300	 0.978696
2400	 0.980417
2500	 0.9796
2600	 0.978846
2700	 0.976296
2800	 0.977143
2900	 0.97931
3000	 0.983333
3100	 0.982903
3200	 0.98
3300	 0.978788
3400	 0.981471
3500	 0.980571
3600	 0.979444
3700	 0.981351
3800	 0.982632
3900	 0.979487
4000	 0.97925
4100	 0.978049
4200	 0.980714
4300	 0.979767
4400	 0.982955
4500	 0.981778
4600	 0.981304
4700	 0.981277
4800	 0.980208
4900	 0.981837
5000	 0.9822
5100	 0.980784
5200	 0.980962
5300	 0.979434
5400	 0.978889
5500	 0.979273
5600	 0.978393
5700	 0.979474
5800	 0.978793
5900	 0.98
6000	 0.9765
