# cycle	 average reward
20	 0.9
40	 0.95
60	 0.95
80	 0.9625
100	 1.02
120	 1.04167
140	 1.07143
160	 1.03125
180	 1.05
200	 1.045
220	 1.05909
240	 1.06667
260	 1.05
280	 1.06429
300	 1.05667
320	 1.07812
340	 1.05882
360	 1.04722
380	 1.05
400	 1.0725
420	 1.07143
440	 1.05682
460	 1.05
480	 1.04167
500	 1.05
520	 1.04615
540	 1.04074
560	 1.04464
580	 1.05
600	 1.045
620	 1.04839
640	 1.04844
660	 1.04697
680	 1.04853
700	 1.04
720	 1.04583
740	 1.05135
760	 1.04605
780	 1.05128
800	 1.0525
820	 1.05244
840	 1.05
860	 1.05
880	 1.04432
900	 1.04333
920	 1.03804
940	 1.03723
960	 1.03854
980	 1.03776
1000	 1.041
1020	 1.04118
1040	 1.04423
1060	 1.04151
1080	 1.04815
1100	 1.04455
1120	 1.05089
1140	 1.04737
1160	 1.04569
1180	 1.04746
1200	 1.0475
1220	 1.04672
1240	 1.04516
1260	 1.04286
1280	 1.04062
1300	 1.03846
1320	 1.04167
1340	 1.04478
1360	 1.05
1380	 1.04638
1400	 1.045
1420	 1.04507
1440	 1.04236
1460	 1.04384
1480	 1.04392
1500	 1.03933
1520	 1.03553
1540	 1.03636
1560	 1.03718
1580	 1.03797
1600	 1.04125
1620	 1.04259
1640	 1.0439
1660	 1.04277
1680	 1.04405
1700	 1.04118
1720	 1.04128
1740	 1.03851
1760	 1.0375
1780	 1.03989
1800	 1.03722
1820	 1.03901
1840	 1.04076
1860	 1.04194
1880	 1.04043
1900	 1.03842
1920	 1.03802
1940	 1.03557
1960	 1.0352
1980	 1.03687
2000	 1.0335
2020	 1.03168
2040	 1.03235
2060	 1.03252
2080	 1.03221
2100	 1.03429
2120	 1.03349
2140	 1.03084
2160	 1.02917
2180	 1.02798
2200	 1.025
2220	 1.02387
2240	 1.02321
2260	 1.02434
2280	 1.02719
2300	 1.02696
2320	 1.02543
2340	 1.02393
2360	 1.02203
2380	 1.01975
2400	 1.01875
2420	 1.0157
2440	 1.01352
2460	 1.01585
2480	 1.01734
2500	 1.0176
2520	 1.01706
2540	 1.01654
2560	 1.0168
2580	 1.01783
2600	 1.01692
2620	 1.01603
2640	 1.01439
2660	 1.01278
2680	 1.01119
2700	 1.01259
2720	 1.01287
2740	 1.01387
2760	 1.01377
2780	 1.01439
2800	 1.01536
2820	 1.01348
2840	 1.01232
2860	 1.01189
2880	 1.01424
2900	 1.0131
2920	 1.0137
2940	 1.01327
2960	 1.01149
2980	 1.0104
3000	 1.01067
3020	 1.01126
3040	 1.01217
3060	 1.01078
3080	 1.01104
3100	 1.01161
3120	 1.01154
3140	 1.01178
3160	 1.01044
3180	 1.00912
3200	 1.00844
3220	 1.00839
3240	 1.00772
3260	 1.00767
3280	 1.00915
3300	 1.00939
3320	 1.00964
3340	 1.01078
3360	 1.01161
3380	 1.01272
3400	 1.01147
3420	 1.01228
3440	 1.01163
3460	 1.01185
3480	 1.01207
3500	 1.01143
3520	 1.01136
3540	 1.01073
3560	 1.01011
3580	 1.01117
3600	 1.01083
3620	 1.01022
3640	 1.00989
3660	 1.01038
3680	 1.01141
3700	 1.01189
3720	 1.01183
3740	 1.01096
3760	 1.01117
3780	 1.01164
3800	 1.01158
3820	 1.01073
3840	 1.00937
3860	 1.0114
3880	 1.01134
3900	 1.00949
3920	 1.01071
3940	 1.01091
3960	 1.01035
3980	 1.0103
4000	 1.0105
4020	 1.00995
4040	 1.01015
4060	 1.00837
4080	 1.0076
4100	 1.00683
4120	 1.0068
4140	 1.00797
4160	 1.00769
4180	 1.00766
